Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Saba, Carlos Vincent; Barton, PA; Boshier, MG; Hughes, IG; Rosenbusch, P; Sauer, BE; Hinds, EA; ",Reconstruction of a cold atom cloud by magnetic focusing,Physical review letters,82,3,468,1999,APS
"Carrington, Alan; Leach, Christine A; Marr, Andrew J; Shaw, Andrew M; Viant, Mark R; Hutson, Jeremy M; Law, Mark M; ",Microwave spectroscopy and interaction potential of the long‐range He... Ar+ ion,The Journal of chemical physics,102,6,2379-2403,1995,American Institute of Physics
"Winiecki, T; Jackson, B; McCann, JF; Adams, CS; ",Vortex shedding and drag in dilute Bose-Einstein condensates,"Journal of Physics B: atomic, molecular and optical physics",33,19,4069,2000,IOP Publishing
"Key, M; Hughes, IG; Rooijakkers, W; Sauer, BE; Hinds, EA; Richardson, DJ; Kazansky, PG; ",Propagation of cold atoms along a miniature magnetic guide,Physical Review Letters,84,7,1371,2000,APS
"Caldwell, L; Devlin, J; Williams, HJ; Fitch, NJ; Hinds, EA; Sauer, B; Tarbutt, M; ","Data presented in"" Deep laser cooling and efficient magnetic compression of molecules""",,,,,,
"Halkyard, PL; Saunders, M; Gardiner, SA; Challis, KJ; ",Power-law behavior in the quantum-resonant evolution of the δ-kicked accelerator,Physical Review A,78,6,063401,2008,APS
"Jones, Matthew; Boddy, Danielle; Sadler, Daniel; Lochead, Graham; Bounds, Alistair; Adams, Charles; Bridge, Elizabeth; ",Spin squeezing and supersolids using Rydberg-dressed strontium atoms,"APS Division of Atomic, Molecular and Optical Physics Meeting Abstracts",,,T3. 008,2014,
"Bridge, EM; Boddy, D; Sadler, DP; Bounds, AD; Adams, CS; Jones, MPA; Gil, LIR; Mukherjee, R; Pohl, T; ",Rydberg spin-squeezing for a strontium optical lattice clock,2014 European Frequency and Time Forum (EFTF),,,439-442,2014,IEEE
"Hutson, Jeremy M; Ashton, Christopher J; Le Roy, Robert J; ","Vibrational predissociation of hydrogen, deuterium, and hydrogen deuteride-argon van der Waals molecules",The Journal of Physical Chemistry,87,15,2713-2720,1983,ACS Publications
"González-Martínez, Maykel L; Hutson, Jeremy M; ",Magnetically tunable Feshbach resonances in Li+ Yb (3 P J),Physical Review A,88,2,020701,2013,APS
"Jones, Matthew; Goldstein, Michael; Jonathan, Philip; Randell, David; ",Supplementary Material: Bayes Linear Analysis of Risks in Sequential Optimal Design Problems,,,,,,
"Xu, Minzhong; Bačić, Zlatko; Hutson, Jeremy M; ","Clusters containing open-shell molecules. III. Quantum five-dimensional/two-surface bound-state calculations on Ar n OH van der Waals clusters (X 2 Π, n= 4 to 12)",The Journal of chemical physics,117,10,4787-4799,2002,American Institute of Physics
"Dörr, Martin; Potvliege, RM; Shakeshaft, Robin; ","Atomic hydrogen irradiated by a strong laser field: Sturmian basis calculations of rates for high-order multiphoton ionization, Raman scattering, and harmonic generation",JOSA B,7,4,433-448,1990,Optica Publishing Group
"Pineau des Forêts, Guillaume; Flower, David R; Aguillon, François; Sidis, Victor; Sizun, Muriel; ",Collisional excitation of H2 by grains in C-type shocks,Monthly Notices of the Royal Astronomical Society,323,1,L7-L11,2001,"Blackwell Science Ltd Oxford, UK"
"Sawant, Rahul; Blackmore, Jacob A; Gregory, Philip D; Mur-Petit, Jordi; Jaksch, Dieter; Aldegunde, Jesús; Hutson, Jeremy M; Tarbutt, MR; Cornish, Simon L; ",Ultracold molecules as qudits,arXiv preprint arXiv:1909.07484,,,,2019,
"KYLSTRA, NJ; POTVLIEGE, RM; ",THE STRONG FIELD LIMIT OF ATOMIC STABILIZATION IN ULTRASHORT PULSES,Super-Intense Laser-Atom Physics,,,305,2001,Kluwer Academic Pub
"Pfau, Tilman; Schnetz, Andreas; Adams, Charles S; Kurtsiefer, Christian; Sigel, Martin; Mlynek, Jürgen; ",Diffraction of atoms from optical potentials,Quantum Interferometry-Proceedings Of The Adrratico Conferencer,,,57,1994,World Scientific
"González-Martínez, Maykel L; Hutson, Jeremy M; ",Ultracold atomic hydrogen: A versatile sympathetic coolant,molecules,3,,2,,
"Abel, RP; Mohapatra, AK; Bason, MG; Pritchard, JD; Weatherill, KJ; Raitzsch, U; Adams, CS; ",Laser frequency stabilization to highly excited state transitions using electromagnetically induced transparency in a cascade system,arXiv preprint arXiv:0811.2183,,,,2008,
"HUTSON, JEREMY M; ","Joint Institute for Laboratory Astrophysics, Campus Boa, 440, University of Colorado",Status and Future Developments in the Study of Transport Properties,361,,57,2013,Springer Science & Business Media
"Slim, HA; Bransden, BH; Flower, DR; ",Formation of autoionizing states of helium in collisions with protons,"Journal of Physics B: Atomic, Molecular and Optical Physics",28,8,1623,1995,IOP Publishing
"Brown, Douglas; Wrathmall, Steven; ",Geographical modelling of language decline,Royal Society Open Science,10,5,221045,2023,The Royal Society
"Whittaker, Kate A; Keaveney, J; Hughes, IG; Sargysyan, A; Sarkisyan, D; Gmeiner, B; Sandoghdar, V; Adams, CS; ",Interrogation and fabrication of nm scale hot alkali vapour cells,Journal of Physics: Conference Series,635,12,122006,2015,IOP Publishing
"Dorr, M; Potvliege, RM; ",Adiabatic stabilization in photodetachment by ultrashort pulses,Journal of Physics B-Atomic Molecular and Optical Physics,33,6,L233-L238,2000,"IOP PUBLISHING LTD TEMPLE CIRCUS, TEMPLE WAY, BRISTOL BS1 6BE, ENGLAND"
"Potvliege, RM; Shakeshaft, Robin; ","Movement and interplay of the bound state, resonance, and shadow poles of the scattering amplitude in multiphoton processes",Physical Review A,38,12,6190,1988,APS
"Tanasittikosol, M; Carr, C; Adams, CS; Weatherill, KJ; ",Sub-natural linewidths in excited-state spectroscopy,arXiv preprint arXiv:1202.1972,,,,2012,
"Jones, Matthew PA; ",Bose Einstein condensation on an atom chip,,,,,2002,"University of Sussex Brighton, UK"
"Carrington, Alan; Pyne, Christopher H; Shaw, Andrew M; Taylor, Susie M; Hutson, Jeremy M; Law, Mark M; ",Microwave spectroscopy and interaction potential of the long‐range He⋯ Kr+ ion: An example of Hund’s case (e),The Journal of chemical physics,105,19,8602-8614,1996,American Institute of Physics
"Cornish, Simon; ",Controlling Collisions in a Two-Electron Atomic Gas,Physics,8,,125,2015,APS
"Flower, DR; Pineau des Forêts, G; ",Theoretical studies of interstellar molecular shocks–V. Solutions for J-type shocks as an initial value problem,Monthly Notices of the Royal Astronomical Society,224,2,403-411,1987,"Oxford University Press Oxford, UK"
"Karman, Tijs; Frye, Matthew D; Reddel, John D; Hutson, Jeremy M; ",Near-threshold bound states of the dipole-dipole interaction,Physical Review A,98,6,062502,2018,APS
"Flower, DR; ",The dissipation of shock waves in the outer solar atmosphere,Astronomy and Astrophysics,58,,185-188,1977,
